,action_ATK_nearest,action_ATK_clu_nearest,action_ATK_nearest_weakest,action_ATK_clu_nearest_weakest,action_ATK_threatening,action_DEF_clu_nearest,action_MIX_gather,action_MIX_lure,action_MIX_sacrifice_lure,do_randomly,do_nothing
6A,0.0,0.0,0.0,1.5,-2.35,0.0,0.0,0.0,0.0,0.0,0.0
A9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3499999999999999,0.0,0.0,0.0
99,0.0,0.0,0.0,1.4606,0.0,-0.8500000000000001,0.0,0.0,1.3399999999999999,4.110361589631824,0.13243086
FF,2.5220006,0.0,0.16000000000000006,0.0,0.0,0.0,0.0,0.1781675374655612,0.0,-0.5594,0.1206
0F,-0.7776813413016659,4.281635803097037,1.1911741187794043,0.19395822369859053,0.4534222778957638,-0.14604177630140946,1.7606971491964345,-0.5097106438769515,-0.11664537363798722,0.23017343195683782,2.2290624286725267
X,0.0,0.0,0.0,0.0,0.0,-2.01,1.6230913289758335,0.0,0.0,0.0,2.4806000000000004
79,0.38495559884679964,0.0,1.9538659098951636,-0.67,0.0,-2.02,0.0,-2.399249027,0.0,0.0,-1.69
A8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3399999999999999,0.0,0.0
AA,0.0,0.0,0.0,0.0,0.0,0.10939400000000002,0.0,0.0,0.0,0.0,0.0
F0,11.754784749950907,1.7611026823716571,1.7376456740976018,0.006076564964300091,0.8564792443431553,0.0,3.84241811270968,0.8261748710751826,-0.18879999999999997,0.39773137359160227,2.857507229689179
7A,0.0,1.34,0.0,0.0,0.0,0.255141,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,1.7969191999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.6699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,-0.33999999999999997,0.41651991472847794,0.0,-1.34,0.0,0.0,0.0,0.0
AB,0.9912000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,-0.5480104100000001,0.0,0.0,-1.254111745985134,0.0,0.0
87,0.0,0.0,0.0,0.0,-0.13400000000000034,0.0,0.0,-0.68,0.1341666051402102,0.0,0.0
E3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46888254014866
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.960572353152487
D4,0.0,0.0,0.0,0.0,0.672521462924311,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,1.6799999999999997,0.0,0.0,0.0,-0.34,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,-0.860802352838236,0.0,0.0,0.0,0.0,0.0
8E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8500000000000001,0.0,0.0
3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
4B,0.0,0.0,0.0,0.0,0.0,0.9900000000000001,0.0,0.0,0.0,0.0,0.0
8B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2667986136319006,0.0,0.0
